"repo","file","key_path"
"azurelocal-sofs-fslogix","config/variables.example.yml","vm"
"azurelocal-sofs-fslogix","config/variables.example.yml","vm.admin_password"
"azurelocal-sofs-fslogix","config/variables.example.yml","vm.admin_username"
"azurelocal-sofs-fslogix","config/variables.example.yml","vm.count"
"azurelocal-sofs-fslogix","config/variables.example.yml","vm.ips"
"azurelocal-sofs-fslogix","config/variables.example.yml","vm.memory_mb"
"azurelocal-sofs-fslogix","config/variables.example.yml","vm.os_disk_size_gb"
"azurelocal-sofs-fslogix","config/variables.example.yml","vm.prefix"
"azurelocal-sofs-fslogix","config/variables.example.yml","vm.processors"
"azurelocal-sofs-fslogix","config/variables.example.yml","winrm"
"azurelocal-sofs-fslogix","config/variables.example.yml","winrm.cert_validation"
"azurelocal-sofs-fslogix","config/variables.example.yml","winrm.port"
"azurelocal-sofs-fslogix","config/variables.example.yml","winrm.transport"
"azurelocal-sofs-fslogix","config/variables.example.yml","winrm.use_ssl"
"azurelocal-toolkit","config/variables/variables.example.yml","_metadata"
"azurelocal-toolkit","config/variables/variables.example.yml","_metadata.discovery"
"azurelocal-toolkit","config/variables/variables.example.yml","_metadata.discovery.azure"
"azurelocal-toolkit","config/variables/variables.example.yml","_metadata.discovery.azure.last_run"
"azurelocal-toolkit","config/variables/variables.example.yml","_metadata.discovery.idrac"
"azurelocal-toolkit","config/variables/variables.example.yml","_metadata.discovery.idrac.last_run"
"azurelocal-toolkit","config/variables/variables.example.yml","_metadata.environment_name"
"azurelocal-toolkit","config/variables/variables.example.yml","_metadata.last_manual_edit"
"azurelocal-toolkit","config/variables/variables.example.yml","_metadata.last_updated"
"azurelocal-toolkit","config/variables/variables.example.yml","_metadata.schema_version"
"azurelocal-toolkit","config/variables/variables.example.yml","_metadata.version"
"azurelocal-toolkit","config/variables/variables.example.yml","accounts"
"azurelocal-toolkit","config/variables/variables.example.yml","accounts.account_lcm_username"
"azurelocal-toolkit","config/variables/variables.example.yml","accounts.account_local_admin_password"
"azurelocal-toolkit","config/variables/variables.example.yml","accounts.account_local_admin_username"
"azurelocal-toolkit","config/variables/variables.example.yml","active_directory"
"azurelocal-toolkit","config/variables/variables.example.yml","active_directory.ad_clusters_ou_path"
"azurelocal-toolkit","config/variables/variables.example.yml","active_directory.ad_domain_fqdn"
"azurelocal-toolkit","config/variables/variables.example.yml","active_directory.ad_netbios_name"
"azurelocal-toolkit","config/variables/variables.example.yml","active_directory.domain"
"azurelocal-toolkit","config/variables/variables.example.yml","active_directory.domain.fqdn"
"azurelocal-toolkit","config/variables/variables.example.yml","active_directory.organizational_units"
"azurelocal-toolkit","config/variables/variables.example.yml","active_directory.organizational_units.servers"
"azurelocal-toolkit","config/variables/variables.example.yml","azure"
"azurelocal-toolkit","config/variables/variables.example.yml","azure_infrastructure"
"azurelocal-toolkit","config/variables/variables.example.yml","azure_infrastructure.bastion"
"azurelocal-toolkit","config/variables/variables.example.yml","azure_infrastructure.bastion.name"
"azurelocal-toolkit","config/variables/variables.example.yml","azure_infrastructure.bastion.public_ip"
"azurelocal-toolkit","config/variables/variables.example.yml","azure_infrastructure.bastion.resource_group"
"azurelocal-toolkit","config/variables/variables.example.yml","azure_infrastructure.bastion.sku"
"azurelocal-toolkit","config/variables/variables.example.yml","azure_infrastructure.bastion.subscription"
"azurelocal-toolkit","config/variables/variables.example.yml","azure_infrastructure.domain_controllers"
"azurelocal-toolkit","config/variables/variables.example.yml","azure_infrastructure.domain_controllers.dc01"
"azurelocal-toolkit","config/variables/variables.example.yml","azure_infrastructure.domain_controllers.dc01.ip_address"
"azurelocal-toolkit","config/variables/variables.example.yml","azure_infrastructure.domain_controllers.dc02"
"azurelocal-toolkit","config/variables/variables.example.yml","azure_infrastructure.domain_controllers.dc02.ip_address"
