"repo","file","key_path","canonical_key_path","classification","notes"
"azurelocal-loadtools","config/variables.example.yml","networking.storage.rdma_enabled","networking.storage.rdma_enabled","canonical_candidate","Already under canonical root"
"azurelocal-loadtools","config/variables.example.yml","networking.storage.subnet","networking.storage.subnet","canonical_candidate","Already under canonical root"
"azurelocal-loadtools","config/variables.example.yml","networking.storage.vlan_id","networking.storage.vlan_id","canonical_candidate","Already under canonical root"
"azurelocal-loadtools","config/variables.example.yml","reporting","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables.example.yml","reporting.format","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables.example.yml","reporting.include_charts","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables.example.yml","reporting.output_dir","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables.example.yml","storage","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables.example.yml","storage.base_vhd_path","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables.example.yml","storage.collect_volume_path","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables.example.yml","storage.csv_path","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables.example.yml","tags","tags","canonical_candidate","Already under canonical root"
"azurelocal-loadtools","config/variables.example.yml","tags.environment","tags.environment","canonical_candidate","Already under canonical root"
"azurelocal-loadtools","config/variables.example.yml","tags.project","tags.project","canonical_candidate","Already under canonical root"
"azurelocal-loadtools","config/variables.example.yml","tags.solution","tags.solution","canonical_candidate","Already under canonical root"
"azurelocal-loadtools","config/variables.example.yml","tags.workload","tags.workload","canonical_candidate","Already under canonical root"
"azurelocal-loadtools","config/variables.example.yml","testing","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables.example.yml","testing.default_profile","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables.example.yml","testing.default_tool","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables.example.yml","testing.duration_seconds","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables.example.yml","testing.warmup_seconds","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables.example.yml","vmfleet","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables.example.yml","vmfleet.block_size","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables.example.yml","vmfleet.data_disk_count","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables.example.yml","vmfleet.data_disk_size_gb","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables.example.yml","vmfleet.diskspd_version","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables.example.yml","vmfleet.outstanding_io","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables.example.yml","vmfleet.random_ratio","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables.example.yml","vmfleet.test_duration_seconds","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables.example.yml","vmfleet.threads_per_vm","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables.example.yml","vmfleet.version","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables.example.yml","vmfleet.vm_count","","orphaned_candidate","Requires manual review"
"azurelocal-loadtools","config/variables.example.yml","vmfleet.vm_memory_gb","","orphaned_candidate","Requires manual review"
